Country,Year,Complaints,Losses,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Afghanistan,2019,612,9218912,Asia,Low Income,Other/Unknown,Pre-Pandemic,False
Afghanistan,2020,1095,8257595,Asia,Low Income,Other/Unknown,Post-Pandemic,True
Afghanistan,2021,1226,17334907,Asia,Low Income,Other/Unknown,Post-Pandemic,False
Afghanistan,2022,982,36751138,Asia,Low Income,Other/Unknown,Post-Pandemic,False
Afghanistan,2023,1150,38527355,Asia,Low Income,Other/Unknown,Post-Pandemic,False
Afghanistan,2024,1373,37684396,Asia,Low Income,Other/Unknown,Post-Pandemic,True
Albania,2019,1261,15433066,Europe,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Albania,2020,2450,15481216,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Albania,2021,2114,25528929,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Albania,2022,1996,37709595,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Albania,2023,2178,46707757,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Albania,2024,2218,56062725,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Angola,2019,730,4218960,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Angola,2020,1471,4388316,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Angola,2021,1207,8467667,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Angola,2022,1222,13342081,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Angola,2023,1336,15792180,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Angola,2024,1438,18499615,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Argentina,2019,4555,106144702,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Argentina,2020,6055,96414427,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Argentina,2021,8548,212672747,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Argentina,2022,6752,399595418,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Argentina,2023,8511,372985785,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Argentina,2024,8857,448223952,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Armenia,2019,2402,25413556,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Armenia,2020,3290,38075278,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Armenia,2021,3551,44322212,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Armenia,2022,3656,90439473,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Armenia,2023,5041,114193013,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Armenia,2024,3466,111820067,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Australia,2019,32061,286422142,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2020,55024,399593060,Oceania,High Income,Western,Post-Pandemic,True
Australia,2021,54330,664501941,Oceania,High Income,Western,Post-Pandemic,False
Australia,2022,43610,974136831,Oceania,High Income,Western,Post-Pandemic,False
Australia,2023,60204,1241532793,Oceania,High Income,Western,Post-Pandemic,False
Australia,2024,64390,1491968034,Oceania,High Income,Western,Post-Pandemic,True
Austria,2019,6942,47306368,Europe,High Income,Western,Pre-Pandemic,False
Austria,2020,10963,41464758,Europe,High Income,Western,Post-Pandemic,True
Austria,2021,15412,116199865,Europe,High Income,Western,Post-Pandemic,False
Austria,2022,11239,133170619,Europe,High Income,Western,Post-Pandemic,False
Austria,2023,9614,163158856,Europe,High Income,Western,Post-Pandemic,False
Austria,2024,14534,145551079,Europe,High Income,Western,Post-Pandemic,True
Azerbaijan,2019,1991,26944580,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Azerbaijan,2020,4183,39283188,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Azerbaijan,2021,4117,55559557,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Azerbaijan,2022,4385,66376883,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Azerbaijan,2023,4967,85199840,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
