Unnamed: 0,Entity,Year,Records,Organization type,Method,Unified_Attack_Category,Unified_Industry,Pandemic_Era,Is_Leap_Year,Country,Continent,Nation_Wealth,West_or_East
3,Adobe Systems Incorporated,2013,152000000,tech,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
4,Adobe Inc.,2019,7500000,tech,poor security,Misconfiguration/Vulnerability,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
5,Advocate Medical Group,2017,4000000,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
6,AerServ (subsidiary of InMobi),2018,75000,advertising,hacked,Hacking/Intrusion,Other,Pre-Pandemic,False,USA,North America,High Income,Western
7,"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media,Physical Loss,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
8,Airtel,2019,320000000,telecommunications,poor security,Misconfiguration/Vulnerability,Telecommunications,Pre-Pandemic,False,India,Asia,Lower-Middle Income,Eastern
9,Air Canada,2018,20000,transport,hacked,Hacking/Intrusion,Transport,Pre-Pandemic,False,Canada,North America,High Income,Western
10,Amazon Japan G.K.,2019,0,web,accidentally published,Accidental/Error,Technology,Pre-Pandemic,False,Japan,Asia,High Income,Eastern
11,TD Ameritrade,2005,200000,financial,lost / stolen media,Physical Loss,Finance,Pre-Pandemic,False,USA,North America,High Income,Western
12,Ancestry.com,2021,300000,web,poor security,Misconfiguration/Vulnerability,Technology,Post-Pandemic,False,USA,North America,High Income,Western
13,Animal Jam,2020,46000000,gaming,hacked,Hacking/Intrusion,Technology,Post-Pandemic,True,USA,North America,High Income,Western
14,"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,healthcare,hacked,Hacking/Intrusion,Healthcare,Post-Pandemic,False,USA,North America,High Income,Western
15,Anthem Inc.,2015,80000000,healthcare,hacked,Hacking/Intrusion,Healthcare,Pre-Pandemic,False,USA,North America,High Income,Western
16,AOL,2004,92000000,web,"inside job, hacked",Hacking/Intrusion,Technology,Pre-Pandemic,True,USA,North America,High Income,Western
17,AOL,2006,20000000,web,accidentally published,Accidental/Error,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
18,AOL,2014,2400000,web,hacked,Hacking/Intrusion,Technology,Pre-Pandemic,False,USA,North America,High Income,Western
19,"Apple, Inc./BlueToad",2021,12367232,"tech, retail",accidentally published,Accidental/Error,Technology,Post-Pandemic,False,USA,North America,High Income,Western
20,Apple,2021,275000,tech,hacked,Hacking/Intrusion,Technology,Post-Pandemic,False,USA,North America,High Income,Western
21,Apple Health Medicaid,2021,91000,healthcare,poor security,Misconfiguration/Vulnerability,Healthcare,Post-Pandemic,False,USA,North America,High Income,Western
